"","M01.1-V1-stool","M01.1-V2-stool","M01.1-V3-stool","M01.2-V1-stool","M01.2-V2-stool","M01.2-V3-stool","M01.3-V1-stool","M01.3-V2-stool","M01.3-V3-stool","M01.4-V1-stool","M01.4-V2-stool","M01.4-V3-stool","M01.5-V2-stool","M01.5-V3-stool","M02.1-V1-stool","M02.1-V2-stool","M02.1-V3-stool","M02.2-V1-stool","M02.2-V2-stool","M02.2-V3-stool","M02.3-V1-stool","M02.3-V2-stool","M02.3-V3-stool","M02.4-V1-stool","M02.4-V2-stool","M02.4-V3-stool","M02.5-V1-stool","M02.5-V2-stool","M03.1-V2-stool","M03.1-V3-stool","M03.3-V1-stool","M03.3-V2-stool","M03.3-V3-stool","M03.4-V1-stool","M03.4-V2-stool","M03.4-V3-stool","M03.5-V1-stool","M03.5-V2-stool","M04.1-V1-stool","M04.1-V3-stool","M04.2-V1-stool","M04.2-V2-stool","M04.2-V3-stool","M04.3-V1-stool","M04.3-V3-stool","M04.4-V1-stool","M04.4-V3-stool","M04.5-V1-stool","M04.5-V2-stool","M04.5-V3-stool","M04.6-V1-stool","M04.6-V2-stool","M04.6-V3-stool"
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified",0.74169,1.07808,1.95741,0.25847,0.14842,0.14808,0.21342,0.18195,0.18176,0.75639,2.21337,0.04953,0.33879,0.04581,0.89346,0.75524,0.26821,0.1561,0.24931,0.24652,0.16571,0.22793,0.10322,0.93922,1.36383,3.08448,0.01165,0.19503,0.72552,1.31526,1.49809,0.60066,0.51243,0.86551,0.73939,0.60116,0.7393,2.11491,0.05788,0.03993,0.00834,1.94,0.09918,2.22857,0.04493,0.56601,0.03904,1.03384,1.02272,0.03225,0.02311,0.0206,0.70829
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales",0.52288,0.22834,0.45593,0.00216,0.20628,0.02242,0,0,0,1.21879,1.696,0.25036,1.67828,0.65814,0.00634,0.0105,0.00739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02233,0.58628,0.70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06331,1.81715
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",0.50905,0.23514,0.47024,0.5025,0.63054,0.35042,0.50788,0.15916,0.32226,0.25241,0.4833,0.11419,0.16247,0.05051,0.44166,0.16122,0.26093,0.48917,0.6607,0.39978,0.26797,0.15747,0.13483,0.82104,0.24193,0.44825,0.56077,0.35724,0.32543,0.35497,0.36113,0.20451,0.29342,0.18527,0.27614,0.38308,0.25447,0.23921,0.08801,0.13363,0.05718,0.15615,0.04644,0.17867,0.02514,0.05594,0.01776,0.02649,0.03586,0.01855,0.01972,0.02363,0.127
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales",0.31215,0.20835,0.39053,0,0,0,0,0,0,0.37155,0.33271,0.069,0.379,0.37481,0.01603,0.0285,0.00426,0.14949,0.11093,0.07896,0.04034,0.02565,0.02128,0.01321,0.00644,0.00834,0.02101,0.03282,0.0614,0.04124,0.09549,0.15318,0.11649,0.15262,0.29089,0.15384,0,0,0,0,0.0105,0.09307,0.00956,0.08726,0.02044,0.14109,0.01123,0.11346,0,0.00712,0.63172,0.03034,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",0.24315,1.06257,1.09285,0.0904,1.33783,0.12444,0,0,0,1.60464,6.77206,0.01212,1.09501,1.31798,0,0,0.21381,0,0,0,3.95668,3.77209,3.63869,4.44781,9.19045,6.0141,0.09078,1.83929,0.24073,1.7847,8.58281,1.52869,2.62444,0,0,0,0,0,0,0,0,0,0,0.04602,0,0,0,0,0,0,0.14973,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales",0.19841,0.38351,0.35028,1.18004,0.24699,0.45116,0.05037,0.28627,0.28086,1.37301,0.12834,3.1434,0.34137,0.39445,0.13929,0.05512,0.11409,0.55745,1.36855,0.92599,0,0.1979,0.0682,0.20226,0.14905,0.25288,0.81924,0.63156,1.07305,3.23324,0.25592,0.32962,0.24487,0.51622,0.4341,2.71618,0.28741,0.54682,0.1335,1.09886,0.48486,0.1672,0.05947,0.01759,0.05027,1.53654,0.02666,0.4249,0.95034,0.07683,0.11772,0.37526,0.21881
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales",0.05492,0.05174,0.04603,0.5173,0.43706,0.27214,0.16092,0.1299,0.26737,0.0893,0.09039,0.05147,0.07164,0.06504,0.20329,0.53641,0.39505,0.17296,1.00623,0.72099,1.08692,0.62766,1.17125,1.11626,1.05967,1.20853,0,0,1.78059,1.93913,1.4319,1.07839,0.87327,0.55427,0.39936,0.39365,0,0,0.96658,0.11085,0.0884,0.09879,0.04687,0.03761,0.03949,3.48578,0.01522,0.34395,1.54244,0.01133,0.08266,0.09013,0.20949
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales",0.04584,0.10953,0.07234,0,0,0,0,0,0,0.12741,0.06145,0,0,0,0,0,0,0,0,0,0.01741,0.02962,0.02791,0.00243,0.20219,0.02385,0,0,0,0,0,0,0,0.0232,0.02317,0.02323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales",0.00494,0.02746,0.12239,0.2312,0.06525,0.00762,0,0.06006,0,0.21834,0.07168,0.66349,0.09783,0.02931,0,0,0.00531,0,0.13891,0.01023,0,0.00321,0.01864,0.00158,0,0.00968,0.06467,0.07367,0,0,0.00905,0,0,0.11134,0.02898,0.02717,0,0.04896,0.03567,0.35733,0.27187,0.00109,0.06369,0.01704,0.06749,0.00861,0.07088,0.00849,0.22853,0.04322,0.0293,0.00659,0.00192
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",17.30015,21.76906,23.45133,30.10943,21.25377,21.40995,40.36617,34.832,51.697,5.09203,10.24218,1.48173,4.8802,3.62565,24.61511,42.64108,28.0021,10.83495,21.05705,19.24144,49.10373,63.80959,60.11334,26.59883,24.76092,34.89218,36.37265,36.02351,31.55182,29.97107,28.66715,37.34289,27.42967,27.63008,35.42625,18.97796,63.90237,49.57224,2.99393,1.18984,4.19084,15.68733,5.41886,20.54287,10.75185,53.11353,11.94374,50.21595,32.54511,13.20916,10.61416,5.74041,9.32317
