"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae",7.16591,2.14774,4.40595,5.4159,4.13525,12.30878,6.47208,8.7378,9.61336,6.24975,1.9959,4.23462,4.44809,1.38387,4.71404,10.69955,1.18199,4.56138,3.22089,4.08198,2.96751,4.37664,2.53824,3.86265,6.58993,2.67448,2.59098,0.18572,0.21054,1.86267,2.71522,9.60794,1.48688,1.94889,5.98023,0.97967,6.1624,2.1132,5.04672,0.93633,2.13727,0.84248,21.21619,23.23549,7.60213,3.56722,2.42747,0.96108,15.24394,13.63216,8.13988,4.49558,1.0643,1.34677,3.36213,0.30836,3.22904,4.05845,1.10633,1.9682,5.48113,5.59974,8.40704,8.22437,5.5628,6.57002,2.78085,6.23129,2.91523,2.64204,1.6633,1.54688
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae",6.15871,0.01018,1.66844,1.68339,0,0.73207,0.83937,0,1.20102,1.61928,0.00349,0.7198,1.43266,1.83865,2.14793,1.16187,0,0,0,0,0,0.04487,0,0.24622,16.38298,5.45345,10.06283,0.00504,0.00762,0.04092,0,0,0,5.58347,0.05624,1.01205,1.4267,0,0.29861,8.56345,7.05833,1.68882,4.14328,2.08278,2.63132,2.91078,2.23711,0.63568,3.11666,5.97914,2.95467,1.34722,0.91009,2.2558,0,0,0,0.37402,0.0168,0.03308,0.54234,0.3305,1.21321,1.71086,1.43649,1.73343,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae",5.12173,11.00973,4.17228,2.04687,9.79604,2.44069,6.31612,3.31998,3.11846,3.80505,2.51121,4.56432,2.05282,4.73757,4.24196,2.80468,1.29589,4.07524,3.02569,10.45299,3.30622,8.91602,4.84006,5.08112,7.79138,6.26615,3.0386,3.85034,3.12316,4.24283,7.29831,2.53168,2.69593,5.30771,9.93533,10.53369,4.73808,1.45101,4.21813,7.56061,12.68471,3.91544,7.35678,4.9439,5.12788,7.45048,7.64779,5.89585,4.85129,5.97771,7.36506,8.90713,6.28227,5.65679,2.01976,0.89676,1.16461,3.48409,7.46269,0.13353,9.83471,7.33367,5.39378,9.47008,5.87321,4.2276,2.65239,4.42684,3.18863,6.21551,5.7764,6.83569
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae",5.05478,15.54151,6.80824,4.64715,27.65257,3.21031,53.25324,71.92959,49.64982,3.5933,12.0607,3.95034,3.21412,5.30827,4.44588,3.16606,6.91703,7.22289,8.02162,8.52638,5.98457,5.02875,7.15417,4.05848,2.57304,4.52735,1.80275,2.79011,3.17061,1.63562,2.70606,30.70179,3.12656,2.56343,5.87569,6.94777,3.38865,19.75122,7.27844,4.89946,3.48276,4.89394,1.86255,1.88184,2.46592,6.35112,7.68087,4.76423,5.01721,8.37086,2.59584,4.67204,11.16475,4.67616,0,0,0,4.76517,29.11059,3.7061,5.48756,9.76343,6.85476,19.09306,15.25999,11.43125,3.53952,2.72703,2.14815,7.49247,8.67295,4.00298
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae",3.31331,3.33188,5.25355,1.4434,1.29301,2.29642,0,0,0,3.99586,2.07334,2.50802,2.15172,1.09464,1.96013,0.84478,1.59928,2.56209,0,0,0,5.12124,2.0522,4.82067,0.69691,0.81496,0.6073,2.29501,3.02245,3.65444,0,0,0,0,0,0,2.82086,2.55997,5.16823,1.7728,1.60449,2.35203,0,0,0,0.77351,0.85049,2.85018,0.75912,2.10627,1.65003,0.64573,0.48827,0.33865,0,0,0,9.05689,1.87102,10.93037,0,0,0.00042,1.82893,1.45717,1.32526,0,0,0,2.94842,1.37579,2.69957
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae",1.81531,0.05926,0.41656,0.48062,0,1.10767,0,0,0.03742,2.69703,2.3888,3.27605,0.00044,0.164,0.70196,0.393,0.15999,0.21749,0.91554,0,0.86266,5.43571,0.19772,0.53763,0.12352,0.01912,0.11341,1.39634,0.97725,1.77915,0.35784,0,0,0.04445,0,0.06746,0.04285,0,0.20224,0.85092,0.99695,0.27036,0.3662,0.94575,0.99346,0.04508,0.03185,0.06831,0.00862,0.00702,0.01604,0.02988,0,0,0.25628,0.02358,0.28311,0.67503,0.00263,0.16407,5.73005,11.675,2.06364,0.20653,0.36767,0.64365,0.09746,0.36733,0.33523,0.72142,0.48574,0.13984
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae",1.54171,1.13874,1.73483,0.90452,1.52468,0.07992,0,0,0,1.06165,0.51771,0.88359,0.84924,1.35584,2.52448,0.37351,0.3329,0.94771,2.49716,0.46954,1.52574,0.28394,0.44916,1.01342,0.60327,0.52018,1.065,0.30366,0.45104,0.71025,0,0,0,0.20297,0.4445,0.10593,1.34332,0.38398,0.86192,0.54094,0.3019,0.80194,0.52194,0.42791,0.75616,1.29194,0.97836,1.4832,0.82698,1.08691,0.81916,1.50343,0.83042,0.94377,0,0,0,0.69022,0.47442,0.96152,0.79658,1.08282,1.84416,0.46931,0.57356,1.4261,0.51003,0.5529,0.64632,3.12578,0.62663,1.50701
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae",1.07939,0.91731,1.33884,0,0,0.00245,0,0,0,0,0,0.02329,66.32987,59.60721,54.28414,0.22803,0.02212,0.3047,0.29737,1.87929,0.95423,0.02406,0,0,14.2935,13.01129,51.55976,0.01558,0.02277,0.11935,0,0,0,0,0,0.02179,0,0,0.00048,0.00122,0.0048,0.05043,0,0,0,4.48499,4.62375,7.19848,0,0,0,0.00029,0,0.0081,86.92593,67.6709,0,0.00104,0,0,0,0.01205,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae",1.00838,0.32359,0.24608,0.25552,0.67202,0.0273,0,0,0,1.31281,0.67511,2.30017,0.08355,0.41247,0.21896,1.95698,0.86871,0.24721,0.09269,2.06661,0.15472,0.47056,0.14026,0.33106,0.03455,0.24875,0.11223,0.18177,0.16818,0.38567,0.49058,0.99953,1.18374,0.20529,0.53841,0.05963,1.24371,3.69553,1.34571,0.1092,0.02791,0.12549,0.00098,0.00146,0.00034,0.31205,0.252,0.17582,1.30018,0.56508,0.74483,0.00514,0.0016,0.00882,0,0,0,0,0,0,0.25776,0.15304,0.49889,0.29249,0.45568,0.25637,3.28209,2.45281,2.3012,0.15069,1.40716,0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae",0.9837,0,0.05303,2.22684,0,0.00639,0.26167,0,0.01441,1.07968,0.00193,0.55901,0.04859,0.0145,0.03679,0.58641,0,0.40359,2.07709,0,4.34199,2.66187,0,0.92999,0,0,0.00234,0,0,0.01522,1.78127,0,0.34464,1.70344,0.00014,0.67843,0.02205,0,0.11895,0.30854,0.11705,0.17818,0.08078,1.38567,0.11664,0.06266,0.04163,0.24502,0.00124,0,0.02782,0.12199,0,0.05723,1.44944,0,1.63229,1.43528,0,1.45352,0.01111,0.01064,0.03937,0.01377,0.14027,0.48605,0.2138,0.41708,0.48307,0.18511,0,0.00209
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae",0.90897,0.04992,0.06843,0.01758,0.64876,0.01548,0.06177,1.56667,0,0.09685,0.00941,0.07615,0.02612,0.0805,0.01423,0.005,0.10792,0,0.52468,0.00169,0.00832,0.00828,1.42301,0.03259,0.00292,5.86986,0,0.03842,0.03857,0.03193,0.24723,1.63722,0.23308,1.17061,0.04227,9.91273,0.08328,1.50483,0.1364,0.32531,0.08911,0.37171,0.00106,0.01351,0,0.00624,0.00164,0.24072,0,0.00045,0,0,0,0,0.01052,2.25032,1.06846,0.21713,0,6.45687,0.02353,0.14331,0.0739,0.0369,0,0.01525,0.0136,0.00716,0.09437,0.5812,0.07113,0.0731
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae",0.62628,0.00396,0.24332,0.42738,0,0.47866,0.2249,0,0,0.02974,0.24309,0.02519,0.78619,0.28139,0.82899,2e-04,0,0.15009,0.60915,0,0.20319,1.15584,0,0.25648,0.54647,0.0112,0.30352,2.3249,1.30989,0.31305,0.48453,0,0.31446,0.99343,0.00038,2.25176,0.05817,0,0.1408,1.04496,1.74084,1.19174,0,0,0,0.33511,0.33094,0.0308,0.10552,0.14475,0.05359,0.42034,0.01853,0.13671,0,0,0,1.1609,0.18625,0.35036,0.97427,2.30295,0.63309,0.29205,0.23471,0.24446,0.00011,0,1e-04,0.15123,0.02711,0.14559
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae",0.53379,0.44339,7.81938,0.15119,0,0.36385,4.90082,0,14.34465,0.40293,0.34014,0.56563,0.33367,0.10571,1.26443,3.18918,0.14466,0.80902,0.30297,0.39674,2.80513,0.17776,0.00713,0.14591,2.34365,1.03067,1.02598,0.04653,0.11153,0.78423,0.05963,0,0.35018,0.14796,0.06696,0.17204,1.49095,0,1.75265,28.28287,35.02471,20.17141,1.65791,1.63474,2.73382,0.80124,0.67927,9.02049,1.67701,1.02147,7.13355,1.78397,0.72049,0.40944,0.0784,0,0.0042,0.13225,0.0088,0.03125,1.35838,0.64131,0.79301,2.08487,1.1251,0.99752,0.0243,0.05051,0.01233,0.00371,0,3.19968
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae",0.39368,0.00709,0.03419,0.05619,0.00237,0.06954,0.30817,0.02601,0.55654,0.00894,0.01418,0.08231,0.07699,0.09041,0.0795,0.00591,0,0.01708,0.02036,0.07237,0.0351,0.30912,0.11085,0.12981,0.08972,0.08323,0.03756,0,0,0.01376,0.09549,0.22162,0.04948,0.37371,0.09441,0.22619,0.00748,0.02699,0.01264,0.36052,0.44245,0.32864,0.05231,0.0641,0.07232,0.04513,0.06329,0.01963,0.07585,0.09569,0.04666,0.01333,0.04721,0.02168,0.01776,0.01497,0.01441,0.01371,0.06402,0,0.00703,0.05443,0.01201,0.01685,0.01252,0.02123,0.06757,0.14182,0.03257,0.00992,0.16135,0.03312
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae",0.28589,0.0456,0.38668,0.29221,3.88016,0.10957,0.22733,3.00118,1.53507,0.0206,0.00775,0,0.02487,0.12501,0.02226,0.01945,0.1568,0.25404,0.01883,0,0.03139,0.04086,0.26432,0.06125,4.41698,9.61937,3.61718,56.77464,56.0464,30.83624,0.12875,0.01148,0.03037,0.29365,0.11756,0.06807,0.1816,0.00334,0.10633,0.05361,0.08442,0.04628,0.03085,0.00933,0.027,0.09187,0.21272,0.00494,0.61832,1.29531,0.17714,0,0.08883,0,0.00265,0.00201,0.07392,0.06445,0.09726,0.00913,0.08358,0.07064,0.05731,0.35226,1.11331,0.26075,0.34355,0.19974,0.04957,0.09989,0.12727,0.26427
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified",0.23876,0.94702,0.29423,0.11156,0.12267,0.15541,1.76969,0,0.49721,0.25392,0.13528,0.09161,0.12301,0.21475,0.1071,0.07223,0.09408,0.14108,0.17396,0.13396,0.20293,0.14374,0.12691,0.12814,0.24331,1.91495,0.06561,1.88254,1.30072,0.36167,0.06513,0.04037,1.62049,0.67195,0.86921,4.56496,0.61121,1.29765,0.60148,1.10716,2.25611,0.312,6.89684,2.35885,0.01401,0.07379,0.06274,0.3148,0.20477,0.31172,0.07099,0.19882,3.28326,0.18082,0.0067,0,0,2.20818,0.73258,0.0091,0.5261,0.56081,0.16822,0.20839,0.31031,0.08098,0.01458,0.02311,0.02405,0.14178,0.07768,0.82232
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae",0.15425,0.06323,0.09502,0.04807,0.03238,0.1494,0.12689,0.00177,0.10131,0.01881,0.02696,0.0456,0.18863,0.03819,0.35154,0.03762,0,0.06168,0.04226,0.05512,0.03867,0.12162,0.02809,0.03772,0.19128,0.02483,0.05223,0.15104,0.11428,0.15442,0.01543,0.00311,0.01597,0.14002,0.04784,0.98826,0.07373,0.02593,0.03231,0.01621,0.05624,0.00682,0.08821,0.04958,0.02184,0.46876,0.3627,0.02087,0.05423,0.16362,0.20567,0.29189,1.2416,0.13386,0.04251,0.00039,0.05084,0.10631,0.09725,0.00874,0.55375,0.79888,0.14719,0.29878,0.32813,0.41228,0.17583,0.2145,0.16013,0.0081,0.01314,0.04454
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae",0.10765,0.3313,0.08914,0.30362,0.44812,0.15734,0,0,0,0.46327,0.50965,0.20065,1.52952,1.63773,1.61631,0.05364,0.02394,0.0358,0.12792,0.1324,0.05601,0.23015,0.20055,0.16538,1.56625,1.76232,0.72881,1.27177,0.78832,1.11597,0.1804,0.30819,0.08123,0.15815,0.11794,0.31293,0.08649,0.06244,0.08701,1.02485,1.10751,0.75391,0.04069,0.03351,0.10491,0.18338,0.15513,0.11778,0.59034,0.69736,0.31641,0,0,0,0.00678,0.00509,0,0.08426,0.0957,0.06043,0.39466,0.45345,0.36638,1.51762,2.8446,1.86463,0,0,0,0.00755,0.22807,0.0436
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified",0.08006,0.02892,0.0192,0.01295,0.03143,0.00075,0,0,0,0.08704,0.04035,0.15352,0.00244,0.02428,0.00278,4.00102,2.83666,0.12655,0.00416,0.12986,0.00796,3.83644,1.16547,2.9423,0.0017,0.01627,0.00078,0.01861,0.01902,0.04296,0.0324,0.0661,0.0894,0.03208,0.07748,0.01753,1.35597,0.64574,1.35384,0.00829,0.00239,0.0084,0,0,0,0.011,0.00673,0.00664,0.07502,0.03691,0.04591,0,0,0,0,0,0,0,0,0,1.22944,0.82159,2.31247,0.00671,0.01603,0.01137,1.18593,0.87603,0.7999,0.00638,0.06389,0.004
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae",0.05719,0.00341,0.04098,0.0178,0.00045,0.02415,0.00395,0,0.00335,0.11683,0.01117,0.02841,0.00012,0,0.11925,0.2142,0,0.36125,0.02512,0,0.01682,0.03687,0.09392,0.01885,0.12695,0.23835,0.07534,0,0,0,0.04111,0.07835,0.20489,0.01219,0,0.04566,0.00042,0.00155,0.31906,0.09243,0.24568,0.09187,0.26478,0.38579,0.26468,0.05127,0.02223,0.07006,0.01914,0.04057,0.07202,0.0574,0.06333,0.01416,0.02888,0.03954,0.00369,0.15853,0.0439,0.10973,0.08451,0.23838,0.06529,0.00119,0.05979,0.01735,0,0.0259,0,0.0988,0.11596,0.05684
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae",0.04052,0,0,0,0,0,0,0,0.00385,0,0,0,0,0,0,0.00021,0,0,0.00048,0,6e-04,0.00272,0,0.00031,0.00053,0,0.00134,0,0,0,0.00063,0.00183,0,0.00026,0,0.00103,0,0,0,0.01314,0.02459,0.01562,0.00042,0.0024,5e-04,0,0,0,0.00632,0.01915,0,0,0,0,0.00884,0,0.00384,0.01293,0,0,0.00525,0.01905,0.00011,0.00739,0.00368,0.00199,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae",0.02126,0,0.0128,0,0,0,0,0,0,0,0,0,0.00397,0.00313,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0.00288,0.00254,0,0,0,0,0,0.00024,0,0,0,0.00018,0,9e-05,0,0,0,0,0,0,0,0,0,0,0.00033,0,0.00142,0,0.00016,0,0,6e-05,0,0.00018,6e-05,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified",0.02008,0.00626,0.01635,0.28713,0.12083,0.58719,0.96829,0,0.20411,0.29688,0.20637,0.03162,0.54152,0.8391,1.37177,0.57454,0,0.52294,0.22221,0.51344,0.31988,1.29933,0.01991,0.28843,2.24911,3.12824,0.69297,0.93069,0.54232,0.27322,0.00372,0,0,0.26174,1e-04,0.75753,0.17056,0.00133,0.12583,3.64399,5.00974,0.75975,0.19077,0.12573,0.13266,0.27665,0.32966,0.034,0.12419,0.39481,0.41816,0.59091,0.2258,0.23861,7e-05,0,0.05175,0,0,0,0.28352,0.82163,0.21563,0.23121,0.69916,0.40207,0.01119,0.0533,0.01277,0.593,0.00861,0.33007
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae",0.00932,0,0.01293,0.00952,0,0,0,0,0,0.00174,0,0.00221,0,0,0.00286,0.40422,0,9e-04,0.00647,0,0.01169,0,0,0.04073,0.00305,0,0.00154,0,0,0.00673,0,0,0,0,0,0,0.00177,0,0.04001,0,0,0,0.36056,0.33468,0.15022,0.04005,0.01944,0.1157,0,0,0.03317,0.01367,0.02599,0.00881,0.03124,0,0,0,0,0.00126,0,0,0.00173,0.00387,0.02496,0.00078,0,0.00081,0,0.0844,0,0.00246
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae",0.00785,0,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0.00096,0.00235,0,0.00375,0.00319,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711,0.01358,0.01843,0,0,0.00087,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae",0.00707,0,0,0,0,0,0,0,0,0,0,0,0.18092,0.07671,0.0699,0,0,0,0,0,0,0.00155,0,0,0.04689,0.32469,0.0718,0.02551,0.06215,0.1071,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0,0,0,0,0,0,0,0,0.00178
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides",46.63464,55.19339,51.67567,52.99793,35.43189,61.13767,24.26572,11.38936,19.11803,37.97564,64.59708,58.8918,11.35334,16.33196,12.82177,62.30383,82.49605,73.36069,41.40676,62.04987,50.4308,46.01448,72.17523,63.12024,12.81086,16.11421,7.87386,12.0253,13.66523,28.8027,83.28686,53.79078,88.17202,69.77827,65.25584,15.62613,64.46722,54.02119,64.2866,14.1595,9.70855,32.96441,40.69732,50.60697,59.23407,49.5473,53.31753,43.92646,50.39826,32.10251,55.08059,72.57807,70.84001,81.94141,5.74852,28.74376,92.39477,48.75799,42.28671,67.49503,45.41183,35.21105,48.45542,17.43392,12.90542,38.76099,70.76286,68.46671,68.95641,54.5584,60.6473,59.84682
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",16.57056,8.358,12.95401,23.65209,14.20198,5.50495,0,0,0,34.0295,11.13689,16.6888,3.97479,4.09822,5.20368,6.89973,1.5863,3.5887,36.12078,8.75627,23.47717,8.26788,7.01224,11.73458,6.8478,8.93839,7.91157,8.11024,9.23075,16.29159,0,0,0,2.35381,6.16814,0.40394,10.19468,12.45334,6.43356,23.96614,14.80799,26.88151,12.65302,7.30875,13.71684,20.13074,16.72435,21.51777,14.78057,25.7094,11.80634,1.87568,1.76201,1.22121,0,0,0,22.51671,16.32563,5.91984,20.41923,21.29977,19.62949,29.55481,38.01316,20.19561,14.32435,12.76314,17.83375,19.62397,18.34545,17.00429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter",6.15871,0.01018,1.66844,1.68339,0,0.73207,0.83937,0,1.20102,1.61928,0.00349,0.7198,1.43266,1.83865,2.14793,1.16187,0,0,0,0,0,0.04487,0,0.24622,16.38298,5.45345,10.06283,0.00504,0.00762,0.04092,0,0,0,5.58347,0.05624,1.01205,1.4267,0,0.29861,8.56345,7.05833,1.68882,4.14328,2.08278,2.63132,2.91078,2.23711,0.63568,3.11666,5.97914,2.95467,1.34722,0.91009,2.2558,0,0,0,0.37402,0.0168,0.03308,0.54234,0.3305,1.21321,1.71086,1.43649,1.73343,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides",5.05478,15.54151,6.80824,4.64715,27.65257,3.21031,53.25324,71.92959,49.64982,3.5933,12.0607,3.95034,3.21412,5.30827,4.44588,3.16606,6.91703,7.22289,8.02162,8.52638,5.98457,5.02875,7.15417,4.05848,2.57304,4.52735,1.80275,2.79011,3.17061,1.63562,2.70606,30.70179,3.12656,2.56343,5.87569,6.94777,3.38865,19.75122,7.27844,4.89946,3.48276,4.89394,1.86255,1.88184,2.46592,6.35112,7.68087,4.76423,5.01721,8.37086,2.59584,4.67204,11.16475,4.67616,0,0,0,4.76517,29.11059,3.7061,5.48756,9.76343,6.85476,19.09306,15.25999,11.43125,3.53952,2.72703,2.14815,7.49247,8.67295,4.00298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified",3.72832,0,1.23528,0.14138,0,4.2291,0,0,0.14588,1.23203,0,2.46651,1.23571,0,1.05535,3.48496,0,0.34867,0.74754,0.40377,0.27981,2.00042,0,0.977,0.60539,0,0.26299,0,0.00145,0.46237,0.28739,0,0,0.00338,0,0,1.02135,0,2.16723,0.00115,0.00114,0.07515,2.30597,1.30458,0.95956,9e-04,0.00081,0,0.54776,0.3575,0.11835,0.12788,0,0.14671,0.17993,0,1.93532,1.20396,0.03966,0.44557,1.72975,2.73551,3.51021,2.80657,2.72149,1.69691,0.29216,1.33538,0.81728,0.28818,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium",2.56431,2.34411,2.32742,1.09838,1.08824,1.10962,1.48766,0.23607,1.40018,2.12576,0.81851,1.9573,1.09741,1.62776,1.16171,2.16189,0.60981,2.8897,1.1191,5.0852,0.92439,0.87852,1.69807,1.2346,2.2568,3.61236,2.44131,0.92673,0.67023,1.52169,3.73123,0,0.55404,0.28087,1.78511,0.11102,3.10337,0.51575,1.77792,1.05006,0.54695,0.57066,3.60616,2.47198,2.07234,6.07143,5.8722,3.88448,1.81211,2.4295,1.8834,3.49035,2.97297,2.49337,1.45392,0.59021,0.14492,0.76845,0.38041,0.03377,4.33235,2.23442,3.20985,7.22364,3.20967,3.14466,1.24632,1.4491,1.5652,5.02816,1.85141,4.87558
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter",2.34646,2.65742,1.9848,0.0371,0.70764,0.0096,0,0,0,0.04572,0.08863,0.04625,0.01349,0.01252,0.31795,0.00473,0.00491,0.02527,0,0,0,0,0,0,0.0048,0.1569,0.05238,0.12667,0.26836,0.80531,0,0,0,0,0,0,0,0,0,0.2331,0.13253,0.21156,0,0,0,0.03326,0.01118,0.69101,0.09774,0.10777,0.05824,0.64573,0.48827,0.33865,0,0,0,0,0,0,0,0,0,0.20559,0.3774,0.34585,0,0,0,0.87335,0.70809,0.74561
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium",1.81531,0.05926,0.41618,0.48062,0,1.10713,0,0,0.03742,2.69522,2.3888,3.27517,0.00044,0.164,0.70196,0.393,0.15999,0.21749,0.91554,0,0.86266,5.43404,0.19772,0.53723,0.12352,0.01912,0.11341,1.39634,0.97725,1.77915,0.35784,0,0,0.04445,0,0.06746,0.04285,0,0.20224,0.85079,0.99092,0.26536,0.3662,0.94575,0.99346,0.04508,0.03185,0.06831,0.00862,0.00702,0.01604,0.02988,0,0,0.25628,0.02358,0.28311,0.67503,0.00263,0.16407,5.72284,11.67081,2.06202,0.20653,0.36767,0.64365,0.09746,0.36733,0.33523,0.72142,0.48574,0.13984
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia",1.73254,0.07264,0.86456,4.28952,0,7.37954,0.53208,0,2.59052,1.30066,0.23778,1.16445,0.74143,0.16642,0.9945,4.65524,0,3.59638,1.90638,1.61343,0.92434,1.01624,0.00672,1.47652,3.57341,0.55548,1.54548,0.01126,0.03127,0.35432,0.93548,0,0.54917,0.31867,0,0.01021,4.57922,0.04153,2.28471,0.05929,0.16764,0.14803,6.01368,5.3074,1.48578,2.99518,1.86453,0.20475,4.50921,2.92774,5.42871,2.85206,0.46131,0.35661,0.43864,0,0.11025,0.93832,0,0.1086,0.7379,0.58341,2.41389,4.68854,2.22875,2.29904,0.37036,1.47566,0,1.7942,0,0.18727
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter",1.23716,1.09723,1.57245,0.76138,1.43106,0.06866,0,0,0,1.00646,0.48526,0.72834,0.67693,1.13709,2.1691,0.35859,0.30851,0.86389,1.96612,0.37711,1.12452,0.28394,0.44916,1.01342,0.42225,0.32467,0.90405,0.25115,0.34961,0.59954,0,0,0,0.1694,0.38745,0.05567,1.24137,0.35883,0.81724,0.54094,0.3019,0.80194,0.52194,0.42791,0.75616,1.16934,0.896,1.44592,0.63651,0.82926,0.68263,1.50343,0.83042,0.94377,0,0,0,0.69022,0.47442,0.96152,0.76907,1.03625,1.75134,0.38601,0.48211,1.21405,0.51003,0.5529,0.64632,2.85454,0.56159,1.20219
