"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini",0,0,0,2.31706,0,8.2756,0,0,0,0,0,0,0,0,0,0,0,0.00968,0,0,0,0,0,0,0,0,0,0,0.06082,0.35247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20",0,0,0,1.6825,0,0.73056,0.83937,0,1.20102,1.60858,0.00349,0.69731,0.98313,1.7652,0.95236,1.15657,0,0,0,0,0,0.04373,0,0.24622,14.18039,5.42555,9.30049,0,0,0,0,0,0,5.58347,0.05624,1.01205,0,0,0,8.56322,7.05795,1.68763,4.04874,2.06885,2.56729,2.9091,2.23632,0.63568,3.08414,5.93963,2.93811,1.14863,0.90979,2.00019,0,0,0,0.37402,0.0168,0.03308,0.0512,0.06287,0.65102,1.53204,1.2641,1.58806,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii",0,0,0,1.29881,0.10353,0.10034,0,0,0,0,0,0,0.12597,0.41879,0.30781,3.11641,17.89065,2.64444,0.00592,0.02019,0.26149,0,0,0,0,0,0,0,0,0,0,0,0,0.26717,0.0733,0.2952,0,0,0,0,0,0,0,0,0,3.66406,2.89861,1.13099,2.91478,1.07015,4.63124,0.03436,0.38733,0.0217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58",0,0,0,0.22126,1.35029,0.03887,0.17769,0.01457,0.1069,0,0,0,0.01567,0.00507,0.01635,0.0168,0.05624,0.25397,0.00212,0,0.00155,0.01899,0.00772,0.06113,0.14703,0.17622,0.08906,0.0253,0.01685,0.01651,0,0,0,0.28324,0.11467,0.01348,0.03848,0,0,0.03717,0.05313,0.02917,0.03085,0.00933,0.02557,0,0,0,0.55367,0.76193,0.1359,0,0,0,0.00152,0,0,0.05064,0.09303,0.00908,0.07592,0.06363,0.05731,0.13126,0.08799,0.1293,0.32514,0.1668,0.04029,0.06762,0.12727,0.26427
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium",0,0,0,0.1808,0.00287,0.69247,0,0,0,0,0,0,0,0,0,0,0,0,0.24584,0.28146,0.00243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33714,0.92968,0.97329,0,0,0,0.1391,0.12023,0.2795,0.14407,0.24006,0.2178,0.44389,0.93648,0.4012,0,0,0,0,0,0,0.39423,0.37462,0.3107,0.98755,0.8179,0.73394,0,0,0,0.536,0.10148,1.27019
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,0,0,0.14915,2.35283,0.44611,0,0,0,0.29376,2.62999,2.36432,0,0,0,0.52259,4.96867,0.63885,0.66134,0.7868,1.10463,0,0,0,0.10076,0.09985,0.12829,0.22015,0.27752,0.13723,1.32769,1.45298,1.3369,0,0,0,6.37708,6.42339,1.54858,0.32338,0.18957,0.79004,0.08244,0.02027,0.11733,4.33932,7.07389,0.80825,0.15625,0.36221,0.22147,1.09604,2.58374,0.78236,0,0,0,0,0,0.60504,0,0,0,0.09479,0.07908,0.26226,0,0,0,0.76576,0.53456,0.27898
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38",0,0,0,0.13536,0,0.28163,0,0,0.01073,0.01965,0.00846,0.03175,0.04387,0.00524,0.15061,2.42914,0,0.20473,0.04415,0,0.13944,0.05156,0,0.06116,0.30384,0.08147,0.08683,0,0,0.09289,0.02952,0,0.2793,0,0,0,0.17715,0,0,0.10593,0.00611,0.00667,0.26855,0.23275,0.12963,0.00249,0,0.21548,0.27114,0.29223,0.31459,0.01222,0,0,0,0,0,0,0,0,0,0,0,0.94547,0.7013,0.63922,0,0,0,0,0,3.16979
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii",0,0,0,0.12815,0,0,0,0,0,0,0,0,0.04477,0.0145,0.03321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26181,0.10473,0.17321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299",0,0,0,0.07095,0,0.04169,0,0,0,0,0,0,0.00474,0.00729,0,0,0,0,0,0,0.00543,0,0,0,0,0,0,0,0,0,0.12817,0.01148,0.01516,0,0,0,0,0,0,0.00601,0.02275,0.01421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",0,0,0,0.04398,0.04447,0.05791,0,0,0,1.25814,0.53214,2.61656,0.00033,0.02126,0.00217,1.56067,0.79292,2.01031,0,0,0,2.187,11.78178,2.70603,0,0,0,0.58583,1.71514,6.09422,0,0,0,0,0,0,4.00545,13.12283,4.01077,0,0,0,0,0,0,0,0,0,2.34746,2.37844,3.06871,0,0,0,0,0,0,3.98981,1.6161,0.40204,0,0,0,0,0,0,0,0,0,0.01375,0,0.01525
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis",0,0,0,0.01268,0,0.01966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus",0,0,0,0.01109,0,0.00584,0,0,0,0.00315,0,0,0,0,0,0.01635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,0.00034,0.00347,0.00457,0.00191,0,0.00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
